mask,main status
foreclosed,foreclosed
foreclosed,foreclosure
pre foreclosure,pre foreclosure
pre foreclosure,pre foreclosure auction
under contract showing,under contract showing
under contract showing,under contract show
under contract showing,under contract
under contract showing,active under contract
under contract backups,under contract backups
under contract backups,active backup
under contract backups,backup contract
contingency,contingency
contingency,pending with contingencies
contingency,contingent
contingency contract,contingency contract
contingency show,contingent show
contingency,active contingency
contingency finance and inspection,contingent finance and inspection
insp inspection contingency,insp inspection contingency
pending escape clause,pending escape clause
pending backup wanted,pending backup wanted
pending take backups,pending take backups
pending take backups,pending taking backups
pending continue show,pending continue show
pending continue show,pending continue to show
pending inspection,pending inspection
pending,option pending
pending,pending
pending with contingencies,pending with contingencies
due diligence period,due diligence period
activated,activated
activated,for sale
activated,active
active with contract,active with contract
active with offer,active with offer
active auction,active auction
active auction,auction active
active auction,auction
cooling-off period,cooling-off period
new construction,new construction
new construction,new
price change,price change
for rent,for rent
for rent,condo for rent
for rent,apartment for rent
recently sold,recently sold
back on market,back on market
coming soon,coming soon
active option,active option
active option,active option     
active option,option contract